col,value
log_return,0.18580174147646414
mom_5,0.20418349725176094
mom_10,0.2906447500299101
mom_20,0.446611370621849
vol_10,0.1641770942400769
vol_20,0.1681994338239686
vol_ratio,1.386483617142228
zscore_20,2.809081979412898
trend_50,0.35655695381840324
vol_regime,2.0475936978024607
mom_vol_adj,8.548679965889782
volume_shock,3.2674560886525827
ret_1,0.08518918846048348
x_rank_mom5,1.0
x_rank_mom20,1.0
x_rank_trend50,1.0
rel_mom5_spy,0.1870045394023358
rel_mom20_spy,0.40369889541168574
excess_ret_5,0.16938874701216966
beta_20,4.622561669353025
mkt_ret_5,0.06370742094889023
mkt_ret_20,0.12281718278131293
breadth_20,0.9035087719298246
dispersion_20,0.2707482503096443
target,3.0
