col,value
log_return,-0.1494251763221521
mom_5,-0.13879712593099136
mom_10,-0.18678551820243422
mom_20,-0.24395725705362936
vol_10,0.004013540408908269
vol_20,0.005459110325589504
vol_ratio,0.2581497590178272
zscore_20,-2.8066456539100653
trend_50,-0.22667626294669857
vol_regime,0.33878823734718805
mom_vol_adj,-5.666966638811664
volume_shock,0.37480087993015354
ret_1,-0.07164866186892825
x_rank_mom5,0.010526315789473684
x_rank_mom20,0.010526315789473684
x_rank_trend50,0.010526315789473684
rel_mom5_spy,-0.12388440291757519
rel_mom20_spy,-0.2207748310197979
excess_ret_5,-0.13083714762502147
beta_20,-1.3487142288041543
mkt_ret_5,-0.09065055194428878
mkt_ret_20,-0.1109435627805776
breadth_20,0.07368421052631578
dispersion_20,0.041518095876011116
target,-3.0
