col,value
log_return,-0.21169576237401805
mom_5,-0.19078914744757564
mom_10,-0.25583235126615794
mom_20,-0.33474542536597074
vol_10,0.003066929656085792
vol_20,0.0039302120289043995
vol_ratio,0.253193922892871
zscore_20,-2.802534512335513
trend_50,-0.3307042343729178
vol_regime,0.3225190710543655
mom_vol_adj,-5.704410025688589
volume_shock,0.2711397382207391
ret_1,-0.0893164908618189
x_rank_mom5,0.008695652173913044
x_rank_mom20,0.008695652173913044
x_rank_trend50,0.008695652173913044
rel_mom5_spy,-0.17501996967536926
rel_mom20_spy,-0.32628681395340586
excess_ret_5,-0.19185876927231105
beta_20,-1.5897867731603308
mkt_ret_5,-0.0906507129383102
mkt_ret_20,-0.11094369984767283
breadth_20,0.0782608695652174
dispersion_20,0.054641562086726506
target,-3.0
