col,value
log_return,0.18665073816420683
mom_5,0.2052062806208289
mom_10,0.29126253130961766
mom_20,0.4460544336915783
vol_10,0.16402139290069678
vol_20,0.16791123947646944
vol_ratio,1.3865792610745575
zscore_20,2.8096269500011353
trend_50,0.3565913082877905
vol_regime,2.046773047455812
mom_vol_adj,8.55185731547743
volume_shock,3.266882581817029
ret_1,0.08526971119956979
x_rank_mom5,1.0
x_rank_mom20,1.0
x_rank_trend50,1.0
rel_mom5_spy,0.1871653339290374
rel_mom20_spy,0.40355860599266213
excess_ret_5,0.16979932034113912
beta_20,4.6196417179257985
mkt_ret_5,0.06370733665230781
mkt_ret_20,0.12441883088921957
breadth_20,0.9035087719298246
dispersion_20,0.270748246695496
target,3.0
