col,value
log_return,0.18882627800227003
mom_5,0.20783110955714088
mom_10,0.29077404958139264
mom_20,0.4310242971187966
vol_10,0.18249760103280196
vol_20,0.19258113048314696
vol_ratio,1.3859464601609384
zscore_20,2.8052845156330397
trend_50,0.3292016479519437
vol_regime,2.02684247281771
mom_vol_adj,8.42460943083143
volume_shock,3.423528720170011
ret_1,0.08521703744140624
x_rank_mom5,1.0
x_rank_mom20,1.0
x_rank_trend50,1.0
rel_mom5_spy,0.1901402671788744
rel_mom20_spy,0.3941273793612619
excess_ret_5,0.17205087204136982
beta_20,4.652632672089188
mkt_ret_5,0.06027388124730455
mkt_ret_20,0.10865005700176567
breadth_20,0.8956521739130435
dispersion_20,2.0346014111514195
target,3.0
