col,value
log_return,-0.20793389248255
mom_5,-0.18773926852154504
mom_10,-0.2521044315161962
mom_20,-0.332292185881044
vol_10,0.0034841673555628104
vol_20,0.004934779261138734
vol_ratio,0.2542915784436353
zscore_20,-2.7790189076902525
trend_50,-0.32586037806356993
vol_regime,0.33488250195937774
mom_vol_adj,-5.7536610380860855
volume_shock,0.23041056762950418
ret_1,-0.08808818229364856
x_rank_mom5,0.008695652173913044
x_rank_mom20,0.008695652173913044
x_rank_trend50,0.008695652173913044
rel_mom5_spy,-0.17215760343273503
rel_mom20_spy,-0.3150609400207545
excess_ret_5,-0.18821426207626185
beta_20,-1.1197701938966078
mkt_ret_5,-0.081064684852158
mkt_ret_20,-0.11094369984767283
breadth_20,0.08695652173913043
dispersion_20,0.05358661599367205
target,-3.0
